"HPTC__ID","HPTC__ParentID","HPTC__ShortName","HPTC__Taxonomy","HPTC__Status","HPTC__Level","HPTC__FullName","HPTC__Description","HPTC__Grouping","HPTC__Classification","HPTC__AdditionalInformation","HPTC__MedicareCode1"
"234","5","Thoracic Surgery (Cardiothoracic Vascular Surgery)","208G00000X","Active","Level II Classification","Thoracic Surgery (Cardiothoracic Vascular Surgery)","A thoracic surgeon provides the operative, perioperative and critical care of patients with pathologic conditions within the chest. Included is the surgical care of coronary artery disease, cancers of the lung, esophagus and chest wall, abnormalities of the trachea, abnormalities of the great vessels and heart valves, congenital anomalies, tumors of the mediastinum and diseases of the diaphragm. The management of the airway and injuries of the chest is within the scope of the specialty.","Allopathic & Osteopathic Physicians","Thoracic Surgery (Cardiothoracic Vascular Surgery)","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definition added, source added]  Additional Resources: American Board of Thoracic Surgery, 2007.  http://www.abts.org/.  Board certification for Medical Doctors (MDs) is provided by the American Board of Thoracic Surgery.  Thoracic surgeons have the knowledge, experience and technical skills to accurately diagnose, operate upon safely, and effectively manage patients with thoracic diseases of the chest. This requires substantial knowledge of cardiorespiratory physiology and oncology, as well as capability in the use of heart assist devices, management of abnormal heart rhythms and drainage of the chest cavity, respiratory support systems, endoscopy and invasive and noninvasive diagnostic techniques.",""
"235","5","Transplant Surgery","204F00000X","Active","Level II Classification","Transplant Surgery","Definition to come.","Allopathic & Osteopathic Physicians","Transplant Surgery","",""
"16","5","Colon & Rectal Surgery","208C00000X","Active","Level II Classification","Colon & Rectal Surgery","A colon and rectal surgeon is trained to diagnose and treat various diseases of the intestinal tract, colon, rectum, anal canal and perianal area by medical and surgical means. This specialist also deals with other organs and tissues (such as the liver, urinary and female reproductive system) involved with primary intestinal disease.","Allopathic & Osteopathic Physicians","Colon & Rectal Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007:  added definition, added source]  Additional Resources: American Board of Colon and Rectal Surgery, 2007.  http://www.abcrs.org/.  Board certification for Medical Doctors (MDs) is provided by the American Board of Colon and Rectal Surgery.  Colon and rectal surgeons have the expertise to diagnose and often manage anorectal conditions such as hemorrhoids, fissures (painful tears in the anal lining), abscesses and fistulae (infections located around the anus and rectum) in the office setting. They also treat problems of the intestine and colon, and perform endoscopic procedures to evaluate and treat problems such as cancer, polyps (precancerous growths) and inflammatory conditions.",""
"80","5","Neurological Surgery","207T00000X","Active","Level II Classification","Neurological Surgery","A neurological surgeon provides the operative and non-operative management (i.e., prevention, diagnosis, evaluation, treatment, critical care, and rehabilitation) of disorders of the central, peripheral, and autonomic nervous systems, including their supporting structures and vascular supply; the evaluation and treatment of pathological processes which modify function or activity of the nervous system; and the operative and non-operative management of pain. A neurological surgeon treats patients with disorders of the nervous system; disorders of the brain, meninges, skull, and their blood supply, including the extracranial carotid and vertebral arteries; disorders of the pituitary gland; disorders of the spinal cord, meninges, and vertebral column, including those which may require treatment by spinal fusion or instrumentation; and disorders of the cranial and spinal nerves throughout their distribution.","Allopathic & Osteopathic Physicians","Neurological Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definiton added, source added]  Additional Resources: American Board of Neurological Surgery, 2007.  http://www.abns.org/.  Board certification for Medical Doctors (MDs) is provided by the American Board of Neurological Surgery.",""
"105","5","Oral & Maxillofacial Surgery","204E00000X","Active","Level II Classification","Oral & Maxillofacial Surgery","Oral and maxillofacial surgeons are trained to recognize and treat a wide spectrum of diseases, injuries and defects in the head, neck, face, jaws and the hard and soft tissues of the oral and maxillofacial region. They are also trained to administer anesthesia, and provide care in an office setting. They are trained to treat problems such as the extraction of wisdom teeth, misaligned jaws, tumors and cysts of the jaw and mouth, and to perform dental implant surgery.","Allopathic & Osteopathic Physicians","Oral & Maxillofacial Surgery","Source: American College of Surgeons, 2013. www.facs.org [7/1/2013: definition added, source added, additional resources added]  Additional Resources: American Board of Oral and Maxillofacial Surgery and American Association of Oral and Maxillofacial Surgeons  While this is generally considered a specialty of dentistry, physicians can also be board certified as oral and maxillofacial surgeons through the American Board of Oral and Maxillofacial Surgery.",""
"106","5","Orthopaedic Surgery","207X00000X","Active","Level II Classification","Orthopaedic Surgery","An orthopaedic surgeon is trained in the preservation, investigation and restoration of the form and function of the extremities, spine and associated structures by medical, surgical and physical means.  An orthopaedic surgeon is involved with the care of patients whose musculoskeletal problems include congenital deformities, trauma, infections, tumors, metabolic disturbances of the musculoskeletal system, deformities, injuries and degenerative diseases of the spine, hands, feet, knee, hip, shoulder and elbow in children and adults. An orthopaedic surgeon is also concerned with primary and secondary muscular problems and the effects of central or peripheral nervous system lesions of the musculoskeletal system.","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definiton added, source added; 7/1/2011: modified source]  Additional Resources: American Board of Orthopaedic Surgery, 2007.  http://www.abos.org/.  American Osteopathic Board of Orthopaedic Surgery, 2007.  http://www.osteopathic.org/certification  Board certification for Medical Doctors (MDs) is provided by the American Board of Orthopaedic Surgery.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Orthopaedic Surgery.",""
"107","106","Adult Reconstructive Orthopaedic Surgery","207XS0114X","Active","Level III Area of Specialization","Adult Reconstructive Orthopaedic Surgery","Recognized by several state medical boards as a fellowship subspecialty program of orthopaedic surgery, adult reconstructive orthopaedic surgeons deal with reconstructive procedures such as joint arthroplasty (i.e., hip and knee), osteotomy, arthroscopy, soft-tissue reconstruction, and a variety of other adult reconstructive surgical procedures.","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definiton added, source added]  Additional Resources: American Board of Orthopaedic Surgery, 2007.  http://www.abos.org/.    Separate board certification is not currently offered.",""
"108","106","Foot and Ankle Surgery","207XX0004X","Active","Level III Area of Specialization","Foot and Ankle Surgery","Recognized by several state medical boards as a fellowship subspecialty program of orthopaedic surgery, foot and ankle surgeons deal with adult reconstructive foot and ankle surgery, adult foot and ankle trauma, sports medicine foot and ankle, and children's foot and ankle reconstructive surgery.","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: title modified, definiton added, source added]  Additional Resources: American Board of Orthopaedic Surgery, 2007.  http://www.abos.org/.  Separate board certification is not currently offered.  ACGME Accredited Residency Program Requirements:  1 year of training with 5 years Orthopedic Surgery for a total of 6 years.",""
"109","106","Hand Surgery ","207XS0106X","Active","Level III Area of Specialization","Hand Surgery","An orthopaedic surgeon trained in the investigation, preservation and restoration by medical, surgical and rehabilitative means of all structures of the upper extremity directly affecting the form and function of the hand and wrist.","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definiton added, source added; 7/1/2011: modified source]  Additional Resources: American Board of Orthopaedic Surgery, 2007.  http://www.abos.org/.  American Osteopathic Board of Orthopaedic Surgery, 2007.  http://www.osteopathic.org/certification  Board certification for Medical Doctors (MDs) is provided by the American Board of Orthopaedic Surgery.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Orthopaedic Surgery.",""
"110","106","Orthopaedic Surgery of the Spine","207XS0117X","Active","Level III Area of Specialization","Orthopaedic Surgery of the Spine","Recognized by several state medical boards as a fellowship subspecialty program of orthopaedic surgery, orthopaedic surgeons of the spine deal with the evaluation and nonoperative and operative treatment of the full spectrum of primary spinal disorders including trauma, degenerative, deformity, tumor, and reconstructive.","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definiton added, source added]  Additional Resources: American Board of Orthopaedic Surgery, 2007.  http://www.abos.org/.   Separate board certification is not currently offered.",""
"111","106","Orthopaedic Trauma","207XX0801X","Active","Level III Area of Specialization","Orthopaedic Trauma","Recognized by several state medical boards as a fellowship subspecialty program of orthopaedic surgery, orthopaedic trauma surgeons deal with the evaluation and management of acute orthopaedic injuries, evaluation and treatment of post-traumatic deformities and nonunions, acute and delayed reconstruction of pelvic and acetabular fractures, as well as osteotomy in the adult hip for treatment of hip arthritis.","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definiton added, source added]  Additional Resources: American Board of Orthopaedic Surgery, 2007.  http://www.abos.org/.   Separate board certification is not currently offered.",""
"112","106","Pediatric Orthopaedic Surgery","207XP3100X","Active","Level III Area of Specialization","Pediatric Orthopaedic Surgery","An orthopedic surgeon who has additional training and experience in diagnosing, treating and managing musculoskeletal problems in infants, children and adolescents.  These may include limb and spine deformities (such as club foot, scoliosis); gait abnormalities (limping); bone and joint infections; broken bones.","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Source: American Academy of Pediatrics, www.aap.org [7/1/2006: new]",""
"113","106","Sports Medicine","207XX0005X","Active","Level III Area of Specialization","Sports Medicine","An orthopaedic surgeon trained in sports medicine provides appropriate care for all structures of the musculoskeletal system directly affected by participation in sporting activity. This specialist is proficient in areas including conditioning, training and fitness, athletic performance and the impact of dietary supplements, pharmaceuticals, and nutrition on performance and health, coordination of care within the team setting utilizing other health care professionals, field evaluation and management, soft tissue biomechanics and injury healing and repair. Knowledge and understanding of the principles and techniques of rehabilitation, athletic equipment and orthotic devices enables the specialist to prevent and manage athletic injuries.","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definiton changed, source changed]  Additional Resources: American Board of Orthopaedic Surgery, 2007.  http://www.abos.org/.   Board certification for Medical Doctors (MDs) is provided by the American Board of Orthopaedic Surgery.  ACGME Accredited Program Requirements: 1 year GME in the specialty + 5 years of Orthopaedic Surgery for a total of 6 years",""
"175","5","Plastic Surgery","208200000X","Active","Level II Classification","Plastic Surgery","A plastic surgeon deals with the repair, reconstruction or replacement of physical defects of form or function involving the skin, musculoskeletal system, craniomaxillofacial structures, hand, extremities, breast and trunk and external genitalia or cosmetic enhancement of these areas of the body. Cosmetic surgery is an essential component of plastic surgery. The plastic surgeon uses cosmetic surgical principles to both improve overall appearance and to optimize the outcome of reconstructive procedures. The surgeon uses aesthetic surgical principles not only to improve undesirable qualities of normal structures but in all reconstructive procedures as well.","Allopathic & Osteopathic Physicians","Plastic Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definition added, source added]  Additional Resources: American Board of Plastic Surgery, 2007.  http://www.abplsurg.org/.  Board certification for Medical Doctors (MDs) is provided by the American Board of Plastic Surgery.",""
"176","175","Plastic Surgery Within the Head and Neck","2082S0099X","Active","Level III Area of Specialization","Plastic Surgery Within the Head and Neck","A plastic surgeon with additional training in plastic and reconstructive procedures within the head, face, neck and associated structures, including cutaneous head and neck oncology and reconstruction, management of maxillofacial trauma, soft tissue repair and neural surgery. The field is diverse and involves a wide age range of patients, from the newborn to the aged. While both cosmetic and reconstructive surgery is practiced, there are many additional procedures which interface with them.","Allopathic & Osteopathic Physicians","Plastic Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definition changed, source added]  Additional Resources: American Board of Plastic Surgery, 2007.  http://www.abplsurg.org/.  Board certification for Medical Doctors (MDs) is provided by the American Board of Plastic Surgery.  A subspecialty certificate was approved by the ABMS in 2000.  ACGME Accredited Residency Program Requirements:  None.",""
"177","175","Surgery of the Hand","2082S0105X","Active","Level III Area of Specialization","Surgery of the Hand","A plastic surgeon with additional training in the investigation, preservation, and restoration by medical, surgical and rehabilitative means of all structures of the upper extremity directly affecting the form and function of the hand and wrist.","Allopathic & Osteopathic Physicians","Plastic Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definition added, source added]  Additional Resources: American Board of Plastic Surgery, 2007.  http://www.abplsurg.org/.  Board certification for Medical Doctors (MDs) is provided by the American Board of Plastic Surgery.",""
"6","5","Allergy & Immunology","207K00000X","Active","Level II Classification","Allergy & Immunology","An allergist-immunologist is trained in evaluation, physical and laboratory diagnosis, and management of disorders involving the immune system. Selected examples of such conditions include asthma, anaphylaxis, rhinitis, eczema, and adverse reactions to drugs, foods, and insect stings as well as immune deficiency diseases (both acquired and congenital), defects in host defense, and problems related to autoimmune disease, organ transplantation, or malignancies of the immune system.","Allopathic & Osteopathic Physicians","Allergy & Immunology","Source: American Board of Medical Specialties, 2007, www.abms.org  [7/1/2007: added definition, added source]  Additional Resources: American Board of Allergy and Immunology, 2007.  http://www.abai.org/  No subspecialty certificates in allergy and immunology are offered by the American Board of Allergy and Immunology (ABAI). The ABAI, however, does offer formal special pathways for physicians seeking dual certification in allergy/immunology and pediatric pulmonology; allergy/immunology and pediatric rheumatology; and allergy/immunology and adult rheumatology.",""
"7","6","Allergy","207KA0200X","Active","Level III Area of Specialization","Allergy","Definition to come...","Allopathic & Osteopathic Physicians","Allergy & Immunology","",""
"8","6","Clinical & Laboratory Immunology","207KI0005X","Active","Level III Area of Specialization","Clinical & Laboratory Immunology","Definition to come...","Allopathic & Osteopathic Physicians","Allergy & Immunology","",""
"114","5","Otolaryngology","207Y00000X","Active","Level II Classification","Otolaryngology","An otolaryngologist-head and neck surgeon provides comprehensive medical and surgical care for patients with diseases and disorders that affect the ears, nose, throat, the respiratory and upper alimentary systems and related structures of the head and neck. An otolaryngologist diagnoses and provides medical and/or surgical therapy or prevention of diseases, allergies, neoplasms, deformities, disorders and/or injuries of the ears, nose, sinuses, throat, respiratory and upper alimentary systems, face, jaws and the other head and neck systems. Head and neck oncology, facial plastic and reconstructive surgery and the treatment of disorders of hearing and voice are fundamental areas of expertise.","Allopathic & Osteopathic Physicians","Otolaryngology","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definiton added, source added; 7/1/2011: modified source]  Additional Resources: American Board of Otolaryngology, 2007.  http://www.aboto.org/.  American Osteopathic Board of Ophthalmology and Otolaryngology, 2007.  http://www.osteopathic.org/certification  Board certification for Medical Doctors (MDs) is provided by the American Board of Otolaryngology.   Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Ophthalmology and Otolaryngology.",""
"115","114","Facial Plastic Surgery","207YS0123X","Active","Level III Area of Specialization","Facial Plastic Surgery","An otolaryngologist who specializes in facial plastic surgery.","Allopathic & Osteopathic Physicians","Otolaryngology","Source: National Uniform Claim Committee, 2009 [1/1/2010: definition added, source added]  Additional Resources: A General Certificate was, but is no longer issued by the American Osteopathic Board of Ophthalmology and Otolaryngology.",""
"116","114","Otolaryngic Allergy","207YX0602X","Active","Level III Area of Specialization","Otolaryngic Allergy","An otolaryngologist who specializes in the diagnosis and treatment of otolaryngic allergies and other allergic diseases.","Allopathic & Osteopathic Physicians","Otolaryngology","Source: National Uniform Claim Committee, 2009 [1/1/2010: definition added, source added]  Additional Resources: A Certification of Added Qualifications (CAQ) is issued by the American Osteopathic Board of Ophthalmology and Otolaryngology.",""
"117","114","Otolaryngology/Facial Plastic Surgery","207YX0905X","Active","Level III Area of Specialization","Otolaryngology/Facial Plastic Surgery","An otolaryngologist who specializes in the diagnosis and surgical treatment of head and neck conditions.","Allopathic & Osteopathic Physicians","Otolaryngology","Source: National Uniform Claim Committee, 2009 [1/1/2010: definition added, source added]  Additional Resources: A General Certificate is issued by the American Osteopathic Board of Ophthalmology and Otolaryngology.",""
"120","114","Plastic Surgery within the Head & Neck","207YX0007X","Active","Level III Area of Specialization","Plastic Surgery within the Head & Neck","An otolaryngologist with additional training in plastic and reconstructive procedures within the head, face, neck and associated structures, including cutaneous head and neck oncology and reconstruction, management of maxillofacial trauma, soft tissue repair and neural surgery. The field is diverse and involves a wide age range of patients, from the newborn to the aged. While both cosmetic and reconstructive surgeries are practiced, there are many additional procedures which interface with them.","Allopathic & Osteopathic Physicians","Otolaryngology","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definiton added, source added]  Additional Resources: American Board of Otolaryngology, 2007.  http://www.aboto.org/.  Board certification for Medical Doctors (MDs) is provided by the American Board of Otolaryngology.  Board certification for Doctors of Osteopathy is currently provided in the subspecialty of Otolaryngology/Facial Plastic Surgery (see Taxonomy Code 207YX0905X)",""
"118","114","Otology & Neurotology","207YX0901X","Active","Level III Area of Specialization","Otology & Neurotology","An otolaryngologist who treats diseases of the ear and temporal bone, including disorders of hearing and balance. The additional training in otology and neurotology emphasizes the study of embryology, anatomy, physiology, epidemiology, pathophysiology, pathology, genetics, immunology, microbiology and the etiology of diseases of the ear and temporal bone.","Allopathic & Osteopathic Physicians","Otolaryngology","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definiton added, source added]  Additional Resources: American Board of Otolaryngology, 2007.  http://www.aboto.org/.  Board certification for Medical Doctors (MDs) is provided by the American Board of Otolaryngology.",""
"119","114","Pediatric Otolaryngology","207YP0228X","Active","Level III Area of Specialization","Pediatric Otolaryngology","A pediatric otolaryngologist has special expertise in the management of infants and children with disorders that include congenital and acquired conditions involving the aerodigestive tract, nose and paranasal sinuses, the ear and other areas of the head and neck. The pediatric otolaryngologist has special skills in the diagnosis, treatment, and management of childhood disorders of voice, speech, language and hearing.","Allopathic & Osteopathic Physicians","Otolaryngology","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definiton added, source added]  Additional Resources: American Board of Otolaryngology, 2007.  http://www.aboto.org/.  Board certification for Medical Doctors (MDs) is provided by the American Board of Otolaryngology.",""
"120","114","Plastic Surgery within the Head & Neck","207YX0007X","Active","Level III Area of Specialization","Plastic Surgery within the Head & Neck","An otolaryngologist with additional training in plastic and reconstructive procedures within the head, face, neck and associated structures, including cutaneous head and neck oncology and reconstruction, management of maxillofacial trauma, soft tissue repair and neural surgery. The field is diverse and involves a wide age range of patients, from the newborn to the aged. While both cosmetic and reconstructive surgeries are practiced, there are many additional procedures which interface with them.","Allopathic & Osteopathic Physicians","Otolaryngology","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definiton added, source added]  Additional Resources: American Board of Otolaryngology, 2007.  http://www.aboto.org/.  Board certification for Medical Doctors (MDs) is provided by the American Board of Otolaryngology.  Board certification for Doctors of Osteopathy is currently provided in the subspecialty of Otolaryngology/Facial Plastic Surgery (see Taxonomy Code 207YX0905X)",""
"121","114","Sleep Medicine","207YS0012X","Active","Level III Area of Specialization","Sleep Medicine","An Otolaryngologist who practices Sleep Medicine is certified in the subspecialty of sleep medicine and specializes in the clinical assessment, physiologic testing, diagnosis, management and prevention of sleep and circadian rhythm disorders. Sleep specialists treat patients of any age and use multidisciplinary approaches. Disorders managed by sleep specialists include, but are not limited to, sleep related breathing disorders, insomnia, hypersomnias, circadian rhythm sleep disorders, parasomnias and sleep related movement disorders.","Allopathic & Osteopathic Physicians","Otolaryngology","Source: American Academy of Sleep Medicine, www.aasm.org [7/1/2006: new]",""
"9","5","Anesthesiology","207L00000X","Active","Level II Classification","Anesthesiology","An anesthesiologist is trained to provide pain relief and maintenance, or restoration, of a stable condition during and immediately following an operation or an obstetric or diagnostic procedure. The anesthesiologist assesses the risk of the patient undergoing surgery and optimizes the patient's condition prior to, during and after surgery. In addition to these management responsibilities, the anesthesiologist provides medical management and consultation in pain management and critical care medicine. Anesthesiologists diagnose and treat acute, long-standing and cancer pain problems; diagnose and treat patients with critical illnesses or severe injuries; direct resuscitation in the care of patients with cardiac or respiratory emergencies, including the need for artificial ventilation; and supervise post-anesthesia recovery.","Allopathic & Osteopathic Physicians","Anesthesiology","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007:  added definition, added source; 7/1/2011: modified source]  Additional Resources: American Board of Anesthesiology, 2007.  http://www.theaba.org/; American Osteopathic Board of Anesthesiology, 2007, http://www.osteopathic.org/certification  Board certification for Medical Doctors (MDs) is provided by the American Board of Anesthesiology.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Anesthesiology.",""
"10","9","Addiction Medicine","207LA0401X","Active","Level III Area of Specialization","Addiction Medicine","An anesthesiologist who specializes in the diagnosis and treatment of addictions.","Allopathic & Osteopathic Physicians","Anesthesiology","Source: National Uniform Claim Committee, 2009 [1/1/2010: definition added, source added]  Additional Resources: A Certification of Added Qualifications (CAQ) was, but is no longer issued by the American Osteopathic Board of Anesthesiology.",""
"11","9","Critical Care Medicine","207LC0200X","Active","Level III Area of Specialization","Critical Care Medicine","An anesthesiologist, who specializes in critical care medicine diagnoses, treats and supports patients with multiple organ dysfunction. This specialist may have administrative responsibilities for intensive care units and may also facilitate and coordinate patient care among the primary physician, the critical care staff and other specialists.","Allopathic & Osteopathic Physicians","Anesthesiology","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007:  added definition, added source; 7/1/2011: modified source]  Additional Resources: American Board of Anesthesiology, 2007.  http://www.theaba.org/; American Osteopathic Board of Anesthesiology, 2007, http://www.osteopathic.org/certification  Board certification for Medical Doctors (MDs) is provided by the American Board of Anesthesiology.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Anesthesiology.",""
"12","9","Hospice and Palliative Medicine","207LH0002X","Active","Level III Area of Specialization","Hospice and Palliative Medicine","An anesthesiologist with special knowledge and skills to prevent and relieve the suffering experienced by patients with life-limiting illnesses. This specialist works with an interdisciplinary hospice or palliative care team to maximize quality of life while addressing physical, psychological, social and spiritual needs of both patient and family throughout the course of the disease, through the dying process, and beyond for the family.  This specialist has expertise in the assessment of patients with advanced disease; the relief of distressing symptoms; the coordination of interdisciplinary patient and family-centered care in diverse venues; the use of specialized care systems including hospice; the management of the imminently dying patient; and legal and ethical decision making in end-of-life care.","Allopathic & Osteopathic Physicians","Anesthesiology","Source: American Academy of Hospice and Palliative Medicine, www.aahpm.org [1/1/2007: new]",""
